5.611362,,2.656862
12.02266,,9.06816
14.82242,,11.86792
16.39625,,13.44175
17.58905,,14.63455
19.92497,,16.97047
22.47625,,19.52175
25.06067,,22.10617
27.77766,,24.82316
30.27923,,27.32473
31.20697,,28.25247
32.78082,,29.82632
34.37124,,31.41674
36.47535,,33.52085
40.1864,,37.2319
43.56583,,40.61133
45.27222,,42.31772
46.77981,,43.82531
47.26026,,44.30576
48.12173,,45.16723
49.18755,,46.23305
50.94382,,47.98932
52.41813,,49.46363
52.78258,,49.82808
54.30675,,51.35225
55.33389,,52.37939
55.79776,,52.84326
57.07379,,54.11929
59.61234,,56.65784
59.99338,,57.03888
61.35187,,58.39737
65.07934,,62.12484
65.44939,,62.49489
66.85307,,63.89857
67.28378,,64.32928
67.58195,,64.62745
